Order_ID,Order_Date,Customer_ID,Customer_Segment,Region,City,Salesperson,Product,Category,Quantity,Unit_Price_INR,Discount_Pct,Revenue_INR,Payment_Method
ORD-000001,2025-11-24,CUST-0090,Consumer,Central,Raipur,Aarav Sharma,Laptop Air 13,Electronics,1,57324.24,0.0,57324.24,UPI
ORD-000002,2025-02-17,CUST-0430,Consumer,Central,Indore,Kavya Nair,Smartphone Lite,Electronics,3,24518.45,0.05,69877.58,Debit Card
ORD-000003,2025-01-04,CUST-0105,SMB,East,Kolkata,Arjun Rao,Webcam HD,Accessories,3,3765.64,0.0,11296.92,UPI
ORD-000004,2025-07-03,CUST-0388,Consumer,North,Delhi,Vikram Singh,Portable SSD 1TB,Storage,1,8465.51,0.0,8465.51,Debit Card
ORD-000005,2025-10-23,CUST-0876,SMB,North,Chandigarh,Priya Verma,Smartphone Lite,Electronics,1,23494.53,0.0,23494.53,Bank Transfer
ORD-000006,2025-05-23,CUST-0719,SMB,East,Kolkata,Rohan Mehta,Wireless Mouse,Accessories,2,2136.09,0.05,4058.57,Credit Card
ORD-000007,2025-03-25,CUST-0864,Consumer,East,Kolkata,Sneha Iyer,Wireless Mouse,Accessories,10,2212.53,0.1,19912.77,UPI
ORD-000008,2025-06-11,CUST-0218,Consumer,East,Guwahati,Arjun Rao,Mechanical Keyboard,Accessories,1,4669.37,0.2,3735.5,Bank Transfer
ORD-000009,2025-03-15,CUST-0598,Consumer,West,Surat,Neha Kapoor,Wireless Headphones,Accessories,4,6660.56,0.05,25310.13,Credit Card
ORD-000010,2025-03-12,CUST-0812,Consumer,South,Kochi,Priya Verma,27-inch Monitor,Electronics,4,17857.76,0.15,60716.38,Bank Transfer
ORD-000011,2025-07-15,CUST-0697,Enterprise,North,Delhi,Vikram Singh,USB-C Hub,Accessories,2,2901.02,0.2,4641.63,Debit Card
ORD-000012,2025-02-27,CUST-0513,Consumer,East,Bhubaneswar,Priya Verma,Wireless Headphones,Accessories,2,6744.3,0.2,10790.88,Debit Card
ORD-000013,2025-11-24,CUST-0001,SMB,Central,Nagpur,Kavya Nair,27-inch Monitor,Electronics,1,18572.85,0.1,16715.56,UPI
ORD-000014,2025-02-27,CUST-0900,Consumer,South,Bengaluru,Priya Verma,External HDD 2TB,Storage,10,6038.46,0.15,51326.91,Bank Transfer
ORD-000015,2025-02-05,CUST-0272,Consumer,South,Kochi,Sneha Iyer,Webcam HD,Accessories,1,4074.27,0.1,3666.84,Credit Card
ORD-000016,2025-06-09,CUST-0254,Enterprise,North,Chandigarh,Priya Verma,Mechanical Keyboard,Accessories,3,4507.91,0.05,12847.54,Debit Card
ORD-000017,2025-01-11,CUST-0235,SMB,North,Delhi,Aarav Sharma,USB-C Hub,Accessories,3,2858.2,0.0,8574.6,Debit Card
ORD-000018,2025-02-06,CUST-0591,Consumer,Central,Raipur,Sneha Iyer,27-inch Monitor,Electronics,3,17819.78,0.0,53459.34,Bank Transfer
ORD-000019,2025-07-28,CUST-0690,Consumer,North,Delhi,Aarav Sharma,Smartphone Lite,Electronics,3,23786.65,0.05,67791.95,Bank Transfer
ORD-000020,2025-06-23,CUST-0188,Enterprise,West,Ahmedabad,Kavya Nair,Webcam HD,Accessories,1,3879.96,0.0,3879.96,Credit Card
ORD-000021,2025-02-08,CUST-0857,SMB,Central,Bhopal,Priya Verma,Wireless Mouse,Accessories,5,2233.47,0.0,11167.35,Credit Card
ORD-000022,2025-03-27,CUST-0003,Consumer,West,Surat,Vikram Singh,Mechanical Keyboard,Accessories,1,4301.39,0.05,4086.32,Bank Transfer
ORD-000023,2025-05-27,CUST-0159,SMB,West,Pune,Vikram Singh,Mechanical Keyboard,Accessories,4,4572.84,0.1,16462.22,Credit Card
ORD-000024,2025-01-30,CUST-0515,SMB,West,Pune,Aarav Sharma,USB-C Hub,Accessories,1,2674.04,0.0,2674.04,UPI
ORD-000025,2025-04-06,CUST-0253,SMB,Central,Bhopal,Priya Verma,Laptop Air 13,Electronics,3,53871.37,0.0,161614.11,Bank Transfer
ORD-000026,2025-12-03,CUST-0245,SMB,East,Patna,Arjun Rao,USB-C Hub,Accessories,2,2847.52,0.0,5695.04,Credit Card
ORD-000027,2025-12-10,CUST-0637,Consumer,West,Mumbai,Priya Verma,Office Chair,Office,2,11008.42,0.1,19815.16,Credit Card
ORD-000028,2025-09-17,CUST-0162,Consumer,East,Guwahati,Vikram Singh,Wireless Headphones,Accessories,2,6333.78,0.0,12667.56,UPI
ORD-000029,2025-12-08,CUST-0119,SMB,East,Kolkata,Rohan Mehta,Portable SSD 1TB,Storage,7,8821.41,0.0,61749.87,Debit Card
